"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",127.1
"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)",107.1
"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",124.8
"Santa Fe, NM (Metropolitan Statistical Area)",99.8
"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",109.5
"Santa Rosa, CA (Metropolitan Statistical Area)",121
"Savannah, GA (Metropolitan Statistical Area)",93.6
"Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)",92.3
"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",110.5
"Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",91.6
"Sebring, FL (Metropolitan Statistical Area)",82.6
"Sheboygan, WI (Metropolitan Statistical Area)",90.4
"Sherman-Denison, TX (Metropolitan Statistical Area)",92.1
"Shreveport-Bossier City, LA (Metropolitan Statistical Area)",89.9
"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",89.6
"Sioux City, IA-NE-SD (Metropolitan Statistical Area)",88.9
"Sioux Falls, SD (Metropolitan Statistical Area)",92.4
"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",88.7
"Spartanburg, SC (Metropolitan Statistical Area)",87.7
"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",95.2
"Springfield, IL (Metropolitan Statistical Area)",91
"Springfield, MA (Metropolitan Statistical Area)",97.4
"Springfield, MO (Metropolitan Statistical Area)",87.8
"Springfield, OH (Metropolitan Statistical Area)",87.9
"State College, PA (Metropolitan Statistical Area)",102.8
"Staunton-Waynesboro, VA (Metropolitan Statistical Area)",84.8
"Stockton-Lodi, CA (Metropolitan Statistical Area)",99.6
"Sumter, SC (Metropolitan Statistical Area)",86
"Syracuse, NY (Metropolitan Statistical Area)",96.7
"Tallahassee, FL (Metropolitan Statistical Area)",93
"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",99.8
"Terre Haute, IN (Metropolitan Statistical Area)",87.2
"Texarkana, TX-AR (Metropolitan Statistical Area)",87.6
"The Villages, FL (Metropolitan Statistical Area)",93.1
"Toledo, OH (Metropolitan Statistical Area)",88.7
"Topeka, KS (Metropolitan Statistical Area)",89.1
"Trenton, NJ (Metropolitan Statistical Area)",111.3
"Tucson, AZ (Metropolitan Statistical Area)",95.8
"Tulsa, OK (Metropolitan Statistical Area)",90.7
"Tuscaloosa, AL (Metropolitan Statistical Area)",88.4
"Twin Falls, ID (Metropolitan Statistical Area) 2/",(NA)
"Tyler, TX (Metropolitan Statistical Area)",93.7
"Urban Honolulu, HI (Metropolitan Statistical Area)",124.4
"Utica-Rome, NY (Metropolitan Statistical Area)",93.7
"Valdosta, GA (Metropolitan Statistical Area)",80.9
"Vallejo-Fairfield, CA (Metropolitan Statistical Area)",117.6
"Victoria, TX (Metropolitan Statistical Area)",94.2
"Vineland-Bridgeton, NJ (Metropolitan Statistical Area)",100
"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)",97.9
"Visalia-Porterville, CA (Metropolitan Statistical Area)",94.4
"Waco, TX (Metropolitan Statistical Area)",91.6
"Walla Walla, WA (Metropolitan Statistical Area)",94.6
"Warner Robins, GA (Metropolitan Statistical Area)",88.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",119.1
"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)",90.9
"Watertown-Fort Drum, NY (Metropolitan Statistical Area)",98.6
"Wausau, WI (Metropolitan Statistical Area)",91.1
"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)",84.5
"Wenatchee, WA (Metropolitan Statistical Area)",95.2
"Wheeling, WV-OH (Metropolitan Statistical Area)",85.9
"Wichita, KS (Metropolitan Statistical Area)",90.2
"Wichita Falls, TX (Metropolitan Statistical Area)",89.8
"Williamsport, PA (Metropolitan Statistical Area)",92.7
"Wilmington, NC (Metropolitan Statistical Area)",93.4
"Winchester, VA-WV (Metropolitan Statistical Area)",92
"Winston-Salem, NC (Metropolitan Statistical Area)",89
"Worcester, MA-CT (Metropolitan Statistical Area)",103.6
"Yakima, WA (Metropolitan Statistical Area)",93.6
"York-Hanover, PA (Metropolitan Statistical Area)",96.5
"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)",87.5
"Yuba City, CA (Metropolitan Statistical Area)",97.1
"Yuma, AZ (Metropolitan Statistical Area)",91.4
