"MARPI Real Personal Income by MSA 1/"
"Real per capita personal income (Chained 2012 dollars) 2/" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"36420","Oklahoma City, OK (Metropolitan Statistical Area)",47086
"36500","Olympia-Tumwater, WA (Metropolitan Statistical Area)",42425
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",54979
"36740","Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",39496
"36780","Oshkosh-Neenah, WI (Metropolitan Statistical Area)",47212
"36980","Owensboro, KY (Metropolitan Statistical Area)",42717
"37100","Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",46820
"37340","Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",42462
"37460","Panama City, FL (Metropolitan Statistical Area)",41796
"37620","Parkersburg-Vienna, WV (Metropolitan Statistical Area)",41873
"37860","Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",42333
"37900","Peoria, IL (Metropolitan Statistical Area)",49625
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",54398
"38060","Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)",42218
"38220","Pine Bluff, AR (Metropolitan Statistical Area)",37476
"38300","Pittsburgh, PA (Metropolitan Statistical Area)",52856
"38340","Pittsfield, MA (Metropolitan Statistical Area)",52685
"38540","Pocatello, ID (Metropolitan Statistical Area)",38727
"38860","Portland-South Portland, ME (Metropolitan Statistical Area)",49750
"38900","Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",48929
"38940","Port St. Lucie, FL (Metropolitan Statistical Area)",50745
"39140","Prescott, AZ (Metropolitan Statistical Area)",36614
"39300","Providence-Warwick, RI-MA (Metropolitan Statistical Area)",48737
"39340","Provo-Orem, UT (Metropolitan Statistical Area)",37126
"39380","Pueblo, CO (Metropolitan Statistical Area)",38254
"39460","Punta Gorda, FL (Metropolitan Statistical Area)",40320
"39540","Racine, WI (Metropolitan Statistical Area)",46629
"39580","Raleigh, NC (Metropolitan Statistical Area)",51319
"39660","Rapid City, SD (Metropolitan Statistical Area)",49181
"39740","Reading, PA (Metropolitan Statistical Area)",45767
"39820","Redding, CA (Metropolitan Statistical Area)",42915
"39900","Reno, NV (Metropolitan Statistical Area)",50845
"40060","Richmond, VA (Metropolitan Statistical Area)",52778
"40140","Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",33847
"40220","Roanoke, VA (Metropolitan Statistical Area)",46954
"40340","Rochester, MN (Metropolitan Statistical Area)",50926
"40380","Rochester, NY (Metropolitan Statistical Area)",46260
